fw,mver,lts,dst_name,af,dst_addr,src_addr,proto,ttl,size,result,dup,rcvd,sent,min,max,avg,msm_id,prb_id,timestamp,msm_name,from,type,step,stored_timestamp
5080,2.6.2,31,198.41.0.4,4,198.41.0.4,192.168.251.29,ICMP,50.0,32,"[{'rtt': 33.820008}, {'rtt': 31.997991}, {'rtt': 33.280355}]",0,3,3,31.997991,33.820008,33.032784666666664,1009,62023,1789354402,Ping,96.63.190.66,ping,240,1789354488
5080,2.6.2,5,198.41.0.4,4,198.41.0.4,192.168.0.160,ICMP,45.0,32,"[{'rtt': 254.128695}, {'rtt': 254.162939}, {'rtt': 253.382383}]",0,3,3,253.382383,254.162939,253.89133900000002,1009,62043,1789354410,Ping,144.124.192.148,ping,240,1789354506
5080,2.6.2,52,198.41.0.4,4,198.41.0.4,192.168.0.152,ICMP,57.0,32,"[{'rtt': 164.794056}, {'rtt': 135.099678}, {'rtt': 134.745885}]",0,3,3,134.745885,164.794056,144.879873,1009,62063,1789354394,Ping,157.211.138.70,ping,240,1789354470
5080,2.6.2,47,198.41.0.4,4,198.41.0.4,192.168.2.101,ICMP,54.0,32,"[{'rtt': 8.700972}, {'rtt': 9.400398}, {'rtt': 8.685771}]",0,3,3,8.685771,9.400398,8.929046999999999,1009,62068,1789354396,Ping,77.175.56.154,ping,240,1789354472
5080,2.6.2,10,198.41.0.4,4,198.41.0.4,192.168.1.102,ICMP,55.0,32,"[{'rtt': 78.618979}, {'rtt': 79.152872}, {'rtt': 78.557774}]",0,3,3,78.557774,79.152872,78.77654166666666,1009,62081,1789354437,Ping,51.37.25.229,ping,240,1789354479
5080,2.6.2,27,198.41.0.4,4,198.41.0.4,192.168.1.102,ICMP,56.0,32,"[{'rtt': 16.920828}, {'rtt': 17.551049}, {'rtt': 19.071915}]",0,3,3,16.920828,19.071915,17.847930666666667,1009,62083,1789354383,Ping,98.97.102.235,ping,240,1789354415
5080,2.6.2,0,198.41.0.4,4,198.41.0.4,10.0.2.181,ICMP,56.0,32,"[{'rtt': 5.561827}, {'rtt': 5.070739}, {'rtt': 5.258437}]",0,3,3,5.070739,5.561827,5.297001000000001,1009,62089,1789354433,Ping,94.31.92.36,ping,240,1789354483
5080,2.6.2,21,198.41.0.4,4,198.41.0.4,10.0.0.17,ICMP,57.0,32,"[{'rtt': 13.133974}, {'rtt': 13.307591}, {'rtt': 13.791477}]",0,3,3,13.133974,13.791477,13.411014,1009,62096,1789354417,Ping,45.81.249.173,ping,240,1789354501
5080,2.6.2,2,198.41.0.4,4,198.41.0.4,192.168.26.36,ICMP,55.0,32,"[{'rtt': 19.649973}, {'rtt': 19.554928}, {'rtt': 20.063522}]",0,3,3,19.554928,20.063522,19.756141,1009,62111,1789354386,Ping,93.104.187.76,ping,240,1789354451
5080,2.6.2,1,198.41.0.4,4,198.41.0.4,192.168.2.7,ICMP,55.0,32,"[{'rtt': 30.4051}, {'rtt': 36.53134}, {'rtt': 29.670152}]",0,3,3,29.670152,36.53134,32.20219733333334,1009,62118,1789354402,Ping,98.50.68.17,ping,240,1789354465
5080,2.6.2,29,198.41.0.4,4,198.41.0.4,192.168.50.243,ICMP,57.0,32,"[{'rtt': 31.037178}, {'rtt': 27.705552}, {'rtt': 28.558959}]",0,3,3,27.705552,31.037178,29.100563000000005,1009,62135,1789354395,Ping,99.246.189.155,ping,240,1789354486
5080,2.6.2,13,198.41.0.4,4,198.41.0.4,172.29.0.94,ICMP,50.0,32,"[{'rtt': 169.379212}, {'rtt': 169.624676}, {'rtt': 169.232317}]",0,3,3,169.232317,169.624676,169.4120683333333,1009,62144,1789354415,Ping,41.223.245.3,ping,240,1789354486
5080,2.6.2,72,198.41.0.4,4,198.41.0.4,41.76.206.186,ICMP,54.0,32,"[{'rtt': 164.817509}, {'rtt': 165.53702}, {'rtt': 164.089278}]",0,3,3,164.089278,165.53702,164.81460233333334,1009,62151,1789354380,Ping,41.76.206.186,ping,240,1789354493
5080,2.6.2,2,198.41.0.4,4,198.41.0.4,192.168.0.205,ICMP,252.0,32,"[{'rtt': 17.031916}, {'rtt': 18.643302}, {'rtt': 16.315629}]",0,3,3,16.315629,18.643302,17.330282333333333,1009,62158,1789354395,Ping,68.99.126.159,ping,240,1789354494
